section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,386,1649868499420674069,1649868500028896069,608,true,0.476521,0.278532
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,387,1649868500052706069,1649868500493043069,440,true,0.32988,0.209866
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,389,1649868500804673069,1649868501920756069,1116,false,2.569302,-0.869257
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,391,1649868502932878069,1649868503112689069,179,true,0.583192,0.165713
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,392,1649868503136722069,1649868503504560069,367,true,0.627016,0.270702
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,393,1649868503544925069,1649868503816734069,271,true,0.478808,0.149831
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,394,1649868503988636069,1649868504392935069,404,true,0.010419,0.152806
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,395,1649868504604711069,1649868505088724069,484,true,0.228698,0.244005
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,396,1649868505144939069,1649868505680958069,536,false,1.020526,0.252011
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,397,1649868505852981069,1649868506400997069,548,true,0.243196,0.230586
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,398,1649868506428811069,1649868506728651069,299,true,0.095318,0.072345
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,399,1649868506941128069,1649868507005056069,63,true,0.250819,0.220633
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,400,1649868507024532069,1649868507220718069,196,true,0.215018,0.227893
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,403,1649868507916682069,1649868508148703069,232,false,3.525447,-1.071009
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,404,1649868508376756069,1649868508924682069,547,true,0.267049,0.248859
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,405,1649868508972507069,1649868509740696069,768,true,0.981495,0.091903
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,406,1649868510168478069,1649868510996690069,828,false,1.457811,0.958088
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,407,1649868511024721069,1649868512000709069,975,false,1.358817,1.029587
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,412,1649868513472960069,1649868513601116069,128,true,0.256666,0.240799
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,413,1649868513980901069,1649868515044991069,1064,false,-5.575552,0.24578
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,414,1649868515072818069,1649868515456689069,383,false,4.67155,-1.123258
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,415,1649868515692597069,1649868517000581069,1307,false,4.630542,-1.131559
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,417,1649868517568674069,1649868518188691069,620,true,0.124585,0.233418
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,419,1649868519032843069,1649868519708755069,675,false,3.987302,-0.642757
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,421,1649868520548951069,1649868520940690069,391,true,0.226639,0.256233
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,422,1649868520972494069,1649868521120939069,148,true,0.510363,0.271543
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,423,1649868521152475069,1649868522072689069,920,true,0.191071,0.233725
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,424,1649868522297068069,1649868522456962069,159,true,0.218885,0.194319
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,425,1649868522484916069,1649868522720767069,235,false,-0.020255,0.295028
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,426,1649868522756674069,1649868523512659069,755,true,0.148632,0.224245
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,427,1649868523540984069,1649868523764673069,223,false,-0.07659,0.308056
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,428,1649868523796680069,1649868524481095069,684,true,0.162577,0.23279
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,429,1649868524532468069,1649868524952880069,420,true,0.976069,0.170976
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,430,1649868525008482069,1649868526016754069,1008,true,0.120893,0.251894
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,431,1649868526060690069,1649868526772734069,712,true,0.538616,0.352785
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,433,1649868527076480069,1649868527696651069,620,false,2.520512,-0.840047
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,436,1649868528620651069,1649868528748708069,128,true,0.540371,0.163697
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,437,1649868528780698069,1649868528928883069,148,true,0.563326,0.209004
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,438,1649868528948696069,1649868529248716069,300,true,0.405645,0.274688
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,439,1649868529276834069,1649868529540680069,263,true,0.222066,0.328472
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,442,1649868530321086069,1649868530537163069,216,false,2.356861,-0.532476
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,447,1649868532620653069,1649868532848743069,228,true,0.203913,0.313841
