section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,228,1649868384632710069,1649868384960694069,327,false,1.4017,0.609794
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,229,1649868385256692069,1649868386740849069,1484,false,1.394563,0.605015
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,230,1649868386793034069,1649868387032715069,239,false,2.40699,0.600856
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,231,1649868387208691069,1649868388576919069,1368,false,1.389703,0.56657
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,232,1649868388632696069,1649868388988485069,355,false,2.275666,0.485271
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,233,1649868389180741069,1649868393040492069,3859,false,1.38128,0.597473
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,234,1649868393232779069,1649868393372708069,139,false,2.574499,0.264578
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,235,1649868393605004069,1649868393688691069,83,false,1.484514,0.553338
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,236,1649868393708491069,1649868394232717069,524,false,1.426298,0.589808
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,237,1649868394288649069,1649868394540496069,251,false,2.549773,0.643663
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,238,1649868394760748069,1649868395360474069,599,false,1.411012,0.571633
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,241,1649868396316685069,1649868397296936069,980,false,1.310252,0.572239
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,244,1649868398052755069,1649868399468872069,1416,false,1.390503,0.563357
